整机结构研发流程,,,,,,,,,
"评估需结合硬件和供应商评估结果进行。
重大风险需经结构总监、产品总监可行后，才可以进行下一步的设计。
输入：研发过程中需要产品、ID、堆叠、基带、射频、质量、项目等相关部门或者供应商提供的图纸、文件或确认邮件等；
输出：研发过程中整机结构工程师需要提供给产品、ID、堆叠、基带、射频、质量、项目等相关部门或者供应商的图纸、文件或确认邮件等。",,,,,,,编号：,,
阶段,序号,阶段性工作描述,输入,输  出,输出文件参考,相关流程及设计规范,责任人,完成时间,备注
ID评审阶段,1,根据ID和堆叠评估整机结构工艺可行性,"1.CMF工艺说明文件； 
2.外观分件3D；
3.堆叠3D；
4.堆叠设计说明书；
5.机电元器件规格书及定制器件设计图
6.产品定义
7.机电料清单
8.堆叠 CHECKLIST","《XXXID及堆叠设计评审报告》；
《XXX结构风险管理表》；
《ID checklist》",,"针对不同客户参考不同客户外观及质量标准，如无特殊要求参考亿道内部标准。
",整机结构工程师，组长,初步评估2天，后续持续评估优化,
,2,客户标准可行性评估,客户标准,,,,整机结构工程师，质量策划工程师、产品经理,,
,3,填写ID checklist ,,,,,整机结构工程师,,
,4,针对特殊材质、工艺和结构形式，外发给供应商评估,供应商评估工艺可实现性报告；,,,,整机结构工程师，组长,,
,5,"TP和LCM可行性评估,机电件规格书确认",TP/LCM图纸，机电件规格书,,,,堆叠工程师，结构工程师，组件工程师,,"1，仔细核对3D和2D是否一致；
2，仔细核对几家的供应商的规格书是否一致；
3，每次更改实物和2D要重新确认"
,6,装配可行性评估,,,,,工程部工程师,,
,7,射频可行性评估,天线可行性报告或邮件,,,,射频工程师，整机结构工程师,,
,8,ESD可行性评估,ESD可行性评估报告或邮件,,,,硬件工程师，整机结构工程师,,
,9,音频可行性评估（喇叭，听筒，麦克）,音频可行性报告或邮件,,,,硬件工程师，整机结构工程师,,
,10,散热膜位置评估：与硬件沟通散热膜大概位置，评估是否影响整机厚度及装配可行性,相关确认报告或邮件,,,,硬件工程师，整机结构工程师,,
,11,光学可行性评估：按键灯、闪光灯、指示灯、显示屏等,相关确认报告或邮件,,,,硬件工程师，整机结构工程师,,
MD设计阶段,12,"详细的结构设计：确认ID和堆叠后开始计算设计时间
","1，最新堆叠3D图及结构设计说明书；
2，最新工艺图,建模3D图；
3，器件规格书及其他定制器件设计图；
4，最新产品定义书；
5，最新项目计划书；
6，最新项目成员表。","确认后的TP或二合一 2D图档打样

",略,"针对不同客户参考不同客户外观及质量标准，如无特殊要求参考亿道内部标准。
1.MD结构自检评审checklist-分类-2014-6-06；
2.主要位置的极限壁厚和间隙；
3.结构设计评审目录-V1.0",整机结构工程师,一般设计11天，内部评审修改2天；收到模厂评审后修改图档3天；不算周末,
,13,开模申请,,,略,,整机结构工程师,,
,14,闪光灯罩、光感套3D外发设计,"《闪光灯规格书》
《摄像头规格书》
《光感规格书》",,略,,整机结构工程师,,
,15,模具评审及报价图档外发,,,,,整机结构工程师，商务,,
,16,整理整机装配指导说明,,《XXX整机装配指导说明》,,,整机结构工程师，组长,,
,17,完成结构设计阶段相关checklist自检,,"《结构设计checklist》；
《结构设计DFM checklist》；
《结构设计DFS checklist》；
《模具评审checklist》",,,整机结构工程师,,
,18,小组结构评审；,,《XXX结构设计评审报告》（内审）,,,整机结构工程师，小组成员,,
,19,最终确认：射频、音频、散热膜、ESD、光学效果、装配、二级面、3D外观,所有项的评估报告或确认邮件,,,,整机结构工程师和相关人员,,
,20,"
部门评审
",,,,,整机结构工程师，组长，经理,,
,21,模具评审,模具评审报告,3D及《模具评审报告-回复》,略,,模厂，整机结构工程师，组长,,
,22,结构设计系统评审,"ID工艺图、3D图档；
结构风险管理表；
部门结构设计评审报告；
模具评审报告-回复；
射频、音频、散热膜、ESD、光学效果评审报告或者确认邮件；
可制造性检查表；
装配指导说明；
ID及CMF评审报告或确认邮件；
checklist检查结果；
产品可量产性报告（模厂提供）


","《XXX结构设计评审报告》（系统）；
《XXX结构风险管理表》
",,,项目经理，整机结构工程师，组长,,
,23,外发开模图档,,"最新3D STP图档;
开模结构BOM；
最终工艺图档，丝印文件；
喷涂区域（2D图+PPT说明）",,,整机结构工程师,,
,24,外发侧键、主副板等FPC 2D打样,Gerber文件,2D图，Gerber文件,略,,整机结构工程师,,
模具开发阶段,25,"整理BOM；
2D图档设计；
","项目代码；
机电料清单；","结构BOM（V1.0)；
2D图纸；
",,,整机结构工程师，ID工程师,开模一周,
,26,辅料、散热膜招标及打样,,,,,整机结构工程师，组长,,
,27,其他物料打样,,,,,整机结构工程师，组长,,
,28,最终3D提供给工程（制作工程夹具）,,3D图,略,,整机结构工程师，组长,,
,29,"开模跟进；
跟模工程师跟进模具实际制造进度；
提供《模厂自检表》给模厂项目工程师；","《开模进度表》；
《XXX模具状态表》；
驻模厂日报
","《开模进度表》；
",,,"结构工程师
跟模工程师","具体以模厂提供为准；
",
EVT阶段,30,T0试模检讨,《模厂自检表》；,"《试模检讨以及封样CHECKLIST》；
T0试模状态通报（按标准格式）；
《修模报告》；
《结构问题跟踪表》",,,"结构，
跟模工程师",邮件最迟第二天上午发出,
,31,将T0壳体提供给组长或经理一起检讨，整理《结构问题跟踪表》,,,,,结构工程师，组长,T0后第二天,
,32,BOM整理检查（不同配置及颜色差异化对比检查）,"CMF及配色表,产品配置表",BOM（差异化检查表）,,,结构工程师、CMF工程师、项目经理,试产备料前,
,33,"试产备料：
1，试产料技术状态确认；
2，进度跟进","模具厂：
成型参数表、全尺寸报告、CPK、直通率报告、模厂自检表。","《XXX物料状态表》（新增）；
试产物料签样样板；
《IQC来料检验注意事项》
",,,项目经理，整机结构工程师，组长,"素材2天
喷涂3天
带钢片支架5天
其他合金支架7天",
,34,EVT试产装机，详见《试产工作安排表》，开试产总结会,《EVT试产报告》,"《EVT试产报告-回复》
《EVT可靠性测试报告-回复》；
《结构问题跟踪表》；
《试产样机拆机CHECKLIST》",略,,项目经理，整机结构工程师，组长,1天试产,
,35,试产问题收集、分析、验证、解决,"项目经理：
试产样机8台；
EVT试产报告",,,,"结构工程师
跟模工程师",7天,
,36,"样机交叉检查,整理《试产样机拆机CHECKLIST》",样机2台,,,,结构工程师，组长,,
,37,可靠性测试跟进，测试问题收集、分析、改善对策验证（样机拆机检查，并整理《试产样机拆机CHECKLIST》）,EVT可靠性测试报告,,,,结构工程师，组长,,
,38,改模资料输出,,"《改模说明》；
《设计变更履历表》；
设变后3D，2D",,,结构工程师，组长,改模5天,
DVT1阶段,39,T1试模检讨,《模厂自检表》；,"《试模检讨以及封样CHECKLIST》；
T1试模状态通报（按标准格式）；
《修模报告》；
《结构问题跟踪表》",略,同上,"结构，
跟模工程师",邮件最迟第二天上午发出,
,40,将T1壳体提供给组长或经理一起检讨，整理《结构问题跟踪表》,,,,,结构工程师，组长,T1后第二天,
,41,BOM整理检查（不同配置及颜色差异化对比检查）,"CMF及配色表,产品配置表",BOM（差异化检查表）,,,结构工程师、CMF工程师、项目经理,试产备料前,
,42,"试产备料：
1，试产料技术状态确认；
2，进度跟进","模具厂：
成型参数表、全尺寸报告、CPK、直通率报告、模厂自检表。","《XXX物料状态表》（新增）；
试产物料签样样板；

",略,,结构工程师，组长,3天,
,43,DVT1试产装机，详见《试产工作安排表》，开试产总结会,《DVT1试产报告》,"《DVT1试产报告-回复》
《DVT1可靠性测试报告-回复》；
《结构问题跟踪表》；
《试产样机拆机CHECKLIST》",略,,项目经理，整机结构工程师，组长,"素材2天
喷涂3天
带钢片支架5天
其他合金支架7天",
,44,试产问题收集、分析、验证、解决,"项目经理：
试产样机8台；
DVT1试产报告",,,,项目经理，整机结构工程师，组长,1天试产,
,45,"样机交叉检查,整理《试产样机拆机CHECKLIST》",样机2台,,,,结构工程师，组长,7天,
,46,可靠性测试跟进，测试问题收集、分析、改善对策验证（样机拆机检查，并整理《试产样机拆机CHECKLIST》）,DVT1可靠性测试报告,,,,结构工程师，组长,,新增，3月15日后开始执行
,47,改模资料输出,,"《改模说明》；
《设计变更履历表》；
设变后3D，2D",略,,结构工程师，组长,,
DVT2阶段,48,T2试模检讨,《模厂自检表》；,"《试模检讨以及封样CHECKLIST》；
T2试模状态通报（按标准格式）；
《修模报告》；
《结构问题跟踪表》",略,同上,"结构，
跟模工程师",邮件最迟第二天上午发出,
,49,将T2壳体提供给组长或经理一起检讨，整理《结构问题跟踪表》,,,,,结构工程师，组长,T2后第二天,
,50,BOM整理检查（不同配置及颜色差异化对比检查）,"CMF及配色表,产品配置表",BOM（差异化检查表）,,,结构工程师、CMF工程师、项目经理,试产备料前,
,51,"试产备料：
1，试产料技术状态确认；
2，进度跟进","模具厂：
成型参数表、全尺寸报告、CPK、直通率报告、模厂自检表。","《XXX物料状态表》（新增）；
试产物料签样样板；

",略,,结构工程师，组长,3天,
,52,DVT2试产装机，详见《试产工作安排表》，开试产总结会,《DVT2试产报告》,"《DVT2试产报告-回复》
《DVT2可靠性测试报告-回复》；
《结构问题跟踪表》；
《试产样机拆机CHECKLIST》",略,,项目经理，整机结构工程师，组长,"素材2天
喷涂3天
带钢片支架5天
其他合金支架7天",
,53,试产问题收集、分析、验证、解决,"项目经理：
试产样机8台；
DVT2试产报告",,,,项目经理，整机结构工程师，组长,1天试产.,
,54,"样机交叉检查,整理《试产样机拆机CHECKLIST》",样机2台,,,,结构工程师，组长,7天,
,55,可靠性测试跟进，测试问题收集、分析、改善对策验证（样机拆机检查，并整理《试产样机拆机CHECKLIST》）,DVT2可靠性测试报告,,,,结构工程师,,新增，3月15日后开始执行
,56,改模资料输出,,"《改模说明》；
《设计变更履历表》；
设变后3D，2D",略,,结构工程师，组长,,
复制模,57,复制模开模评审,"《复制开模评审表》-各部门确认回复
《问题跟踪表》；
《DVT2试产报告》；
《DVT2可靠性测试报告》；
《模厂评审报告》（二供）","《复制开模评审表》；
《模厂评审报告-回复》（二供）
",,同上,结构工程师，组长,1天,
,58,复制模开模申请,,,,,结构工程师,,
,59,"开模跟进；
跟模工程师跟进模具实际制造进度；
提供《模厂自检表》给模厂项目工程师；","《开模进度表》；
《XXX模具状态表》；
驻模厂日报
","《开模进度表》；


",略,,"结构，
跟模工程师",,
,60,复制模试模检讨,《模厂自检表》；,"《试模检讨以及封样CHECKLIST》；
复制模试模状态通报；
《修模报告》；
《复制模互配表》",略,,"结构，
跟模工程师",邮件最迟第二天上午发出,
,61,将壳体提供给组长或经理一起检讨,,,,,结构工程师，组长,T0后第二天,
,62,BOM整理检查（不同配置及颜色差异化对比检查）,"CMF及配色表,产品配置表",BOM（差异化检查表）,,,结构工程师、CMF工程师、项目经理,试产备料前,
,63,"试产备料：
1，试产料技术状态确认；
2，进度跟进","模具厂：
成型参数表、全尺寸报告、CPK、直通率报告、模厂自检表。","《XXX物料状态表》（新增）；
试产物料签样样板；
",略,,项目经理，整机结构工程师，组长,"素材2天
喷涂3天
带钢片支架5天
其他合金支架7天",
,64,复制模试产装机，详见《试产工作安排表》，开试产总结会,《复制模试产报告》,"《复制模试产报告-回复》
《复制模可靠性测试报告-回复》；
《试产样机拆机CHECKLIST》",略,,项目经理，整机结构工程师，组长,1天试产,
,65,试产问题收集、分析、验证、解决,"项目经理：
复制模试产报告",,,,"结构工程师
跟模工程师",7天,
,66,可靠性测试跟进，测试问题收集、分析、改善对策验证（样机拆机检查，并整理《试产样机拆机CHECKLIST》）,EVT可靠性测试报告,,,,结构工程师，组长,,
,67,修模资料输出,,《修模报告》；,,,结构工程师，组长,改模5天,
PVT阶段,68,PVT前所有问题关闭,,"《模厂自检表》；
《试模检讨以及封样CHECKLIST》；
T3试模状态通报;
《结构问题跟踪表》",略,同上,项目经理，整机结构工程师，组长,1天,
,69,"T3试模检讨,具体的工作内容参考《模厂自检表》；",,,,,"结构，
跟模工程师",邮件最迟第二天上午发出,
,70,将T3壳体提供给组长或经理一起检讨，整理《结构问题跟踪表》,,,,,结构工程师，组长,T3后第二天,
,71,T3修模后问题确认及验证,验证用的最新物料；,,,,,3天,
,72,BOM整理检查（不同配置及颜色差异化对比检查）,"CMF及配色表,产品配置表",BOM（差异化检查表）,,,结构工程师、CMF工程师、项目经理,试产备料前,
,73,"试产备料：
1，试产料技术状态确认
2，进度跟进","模具厂：
成型参数表、全尺寸报告、CPK，直通率报告、模厂自检表。","《物料状态表》（新增）；
试产物料签样样板；",,,项目经理，整机结构工程师，组长,"素材2天
喷涂3天
带钢片支架5天
其他合金支架7天",
,74,PVT试产装机跟进,,,无,,,1天试产,
